q_index10,n,EM_mean,F1_mean,ROUGE_L_mean,LEV_SIM_mean,ACC_rouge70,ACC_lev80,gold_score_mean,fact_cons_mean,halluc_rate_mean,groundedness_mean,retrieval_support_mean,lat_total_s_mean,lat_gen_s_mean,lat_ret_s_mean,tok_total_mean,tok_prompt_mean,tok_comp_mean,tps_mean,EM_ci_lo,EM_ci_hi,F1_ci_lo,F1_ci_hi,ROUGE_L_ci_lo,ROUGE_L_ci_hi
1,27,0.37037037037037035,0.5575942575942576,0.5575942575942576,0.5710118658913543,0.37037037037037035,0.37037037037037035,5.777777777777778,8.118518518518519,0.18814814814814812,0.8118518518518519,0.7724444444444445,26.27763962962963,26.236393333333332,0.041229999999999996,490.55555555555554,344.8888888888889,145.66666666666666,13.000949057761327,0.18518518518518517,0.5555555555555556,0.40718133718133714,0.7033758833758834,0.40718133718133714,0.7033758833758834
2,27,0.0,0.1785783449182142,0.1785783449182142,0.260858923761306,0.0,0.037037037037037035,8.214814814814815,8.170000000000002,0.183,0.817,0.6976666666666665,25.317434814814813,23.239637037037042,2.077784814814815,468.6296296296296,337.4074074074074,131.22222222222223,13.023799293292681,0.0,0.0,0.10085935608811426,0.26336605629906285,0.10085935608811426,0.26336605629906285
3,27,0.0,0.02643485212826832,0.02643485212826832,0.17976198364965312,0.0,0.0,0.7592592592592593,7.777407407407407,0.22225925925925927,0.7777407407407407,0.6901111111111111,21.980187777777775,19.899947407407407,2.0802285185185188,452.14814814814815,349.18518518518516,102.96296296296296,12.63015398313038,0.0,0.0,0.010328676629846222,0.04518688699524217,0.010328676629846222,0.04518688699524217
4,27,0.0,0.2953277981155629,0.23380738517560648,0.2809851372366501,0.037037037037037035,0.0,4.281481481481482,8.316296296296295,0.1683703703703704,0.8316296296296296,0.7223333333333334,21.90220259259259,19.82605814814815,2.0761337037037038,448.81481481481484,347.22222222222223,101.5925925925926,12.78236823171892,0.0,0.0,0.22985259624649254,0.3632692197280246,0.17677433343120727,0.29594093435975377
5,27,0.0,0.3784320186042994,0.3784320186042994,0.2987486800714104,0.07407407407407407,0.0,7.251851851851852,8.814074074074073,0.11859259259259261,0.8814074074074073,0.8492222222222223,20.610100370370372,18.53028074074074,2.0798055555555557,441.14814814814815,351.22222222222223,89.92592592592592,12.326374684530641,0.0,0.0,0.28799199454409097,0.46523669443085275,0.28799199454409097,0.46523669443085275
6,27,0.0,0.7278147478456681,0.7194787765467339,0.7273922738534504,0.5925925925925926,0.5555555555555556,9.12962962962963,8.72888888888889,0.12711111111111112,0.8728888888888888,0.8328888888888889,22.047776296296295,19.96005962962963,2.0877022222222226,463.25925925925924,359.8888888888889,103.37037037037037,12.569847045921243,0.0,0.0,0.6631474207816885,0.7887056897727731,0.6501505684758355,0.7861005677047217
7,27,0.0,0.43546148061373674,0.43546148061373674,0.2783117616483103,0.0,0.0,7.7555555555555555,8.692592592592593,0.13074074074074074,0.8692592592592592,0.7815555555555556,21.10942370370371,19.02815740740741,2.081254074074074,450.7037037037037,357.0740740740741,93.62962962962963,12.647799715434317,0.0,0.0,0.40030698956804983,0.47441013797234155,0.40030698956804983,0.47441013797234155
8,27,0.0,0.34838062004486875,0.26252235567671073,0.28128848489226493,0.0,0.0,5.444444444444445,8.383703703703704,0.16162962962962965,0.8383703703703703,0.7366666666666667,22.259945185185185,20.186371481481483,2.0735622222222223,466.3703703703704,363.4074074074074,102.96296296296296,12.764451971492555,0.0,0.0,0.2812248736061771,0.41111925393460963,0.20806473317804036,0.316050489980843
9,27,0.0,0.362013433803003,0.3521922213674115,0.31731614841063993,0.0,0.0,2.785185185185185,8.746296296296297,0.12537037037037035,0.8746296296296294,0.8266666666666667,26.53386407407407,24.455690000000004,2.078161851851852,502.2962962962963,359.2962962962963,143.0,12.492458587373845,0.0,0.0,0.2921375083089546,0.43289707845845843,0.28545830911617665,0.4199319867801587
10,27,0.0,0.3099246973515979,0.3099246973515979,0.1924593116194022,0.0,0.0,5.7407407407407405,8.533333333333333,0.14666666666666664,0.8533333333333333,0.7606666666666667,20.209634444444443,18.12777222222222,2.0818481481481483,452.81481481481484,367.25925925925924,85.55555555555556,12.581366933202613,0.0,0.0,0.2599782561222619,0.36353426354888335,0.2599782561222619,0.36353426354888335
